"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",16,0,49,59,10,107,3079,0.03,0.00,77,86,88,88,97,110,110,110,110,110,110,110
"POST","/",16,0,440,442,193,736,2524,0.03,0.00,470,510,560,560,580,740,740,740,740,740,740,740
"GET","/analysis.html",2,0,15,37,15,60,52059,0.00,0.00,60,60,60,60,60,60,60,60,60,60,60,60
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,3441,3441,3441,3441,6914762,0.00,0.00,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,6872,6872,6872,6872,3512018,0.00,0.00,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
"GET","/compare.html",6,0,64,79,25,227,108023,0.01,0.00,67,67,68,68,230,230,230,230,230,230,230,230
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,61194,62568,61194,63942,13911284,0.00,0.00,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",3,0,58000,42469,6673,62370,14042800,0.01,0.00,58000,58000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,6406,6406,6406,6406,2422313,0.00,0.00,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
"GET","/measure.html",8,0,60,61,22,126,46273,0.01,0.00,68,70,91,91,130,130,130,130,130,130,130,130
"POST","/measureResults.html",8,0,19000,23288,2633,42501,3009019,0.01,0.00,33000,42000,42000,42000,43000,43000,43000,43000,43000,43000,43000,43000
"GET","/movers.html",7,0,68,75,3,132,3745,0.01,0.00,68,91,120,120,130,130,130,130,130,130,130,130
"POST","/moversResult.html",7,0,21000,20868,16522,23941,16040,0.01,0.00,21000,22000,23000,23000,24000,24000,24000,24000,24000,24000,24000,24000
"GET","/prediction.html",3,0,69,52,18,69,40373,0.01,0.00,69,69,69,69,69,69,69,69,69,69,69,69
"POST","/predictionResult.html",3,0,76000,54440,9305,77785,317961,0.01,0.00,76000,76000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
"None","Aggregated",84,0,190,9223,3,77785,1301164,0.15,0.00,220,570,6700,19000,42000,61000,76000,78000,78000,78000,78000,78000
