"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",32,0,37,47,3,138,3079,0.05,0.00,39,62,73,73,91,100,140,140,140,140,140,140
"POST","/",32,0,1100,1201,279,2327,2524,0.05,0.00,1200,1400,1600,1600,1800,2100,2300,2300,2300,2300,2300,2300
"GET","/analysis.html",3,0,12,12,12,13,52059,0.01,0.00,12,12,13,13,13,13,13,13,13,13,13,13
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,154897,154897,154897,154897,6914762,0.00,0.00,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,155384,155384,155384,155384,3512018,0.00,0.00,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,2506,2506,2506,2506,658134,0.00,0.00,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
"GET","/compare.html",11,0,39,54,22,117,108023,0.02,0.00,39,72,80,80,87,120,120,120,120,120,120,120
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",4,0,163000,124979,8648,164675,13911284,0.01,0.00,164000,164000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",6,0,165000,138687,6303,166684,14042800,0.01,0.00,165000,165000,166000,166000,167000,167000,167000,167000,167000,167000,167000,167000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,129119,129119,129119,129119,2422313,0.00,0.00,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000
"GET","/measure.html",9,0,65,63,13,134,46273,0.02,0.00,65,75,79,95,130,130,130,130,130,130,130,130
"POST","/measureResults.html",9,0,154000,106512,3164,155467,2686452,0.02,0.00,154000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000
"GET","/movers.html",14,0,47,42,3,75,3745,0.02,0.00,48,59,62,63,67,75,75,75,75,75,75,75
"POST","/moversResult.html",14,0,139000,105596,14283,144936,16042,0.02,0.00,139000,141000,142000,142000,143000,145000,145000,145000,145000,145000,145000,145000
"GET","/prediction.html",6,0,19,33,8,61,40373,0.01,0.00,44,44,51,51,61,61,61,61,61,61,61,61
"POST","/predictionResult.html",6,0,180000,124940,11178,182986,340034,0.01,0.00,180000,180000,182000,182000,183000,183000,183000,183000,183000,183000,183000,183000
"None","Aggregated",150,0,140,33350,3,182986,1213912,0.25,0.00,280,1600,11000,129000,155000,165000,180000,182000,183000,183000,183000,183000
