"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",4,0,6,8,6,15,3079,0.02,0.00,7,7,15,15,15,15,15,15,15,15,15,15
"POST","/",4,0,193,204,193,230,2524,0.02,0.00,200,200,230,230,230,230,230,230,230,230,230,230
"GET","/compare.html",2,0,26,28,26,31,108023,0.01,0.00,31,31,31,31,31,31,31,31,31,31,31,31
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,6400,9613,6396,12830,13911284,0.01,0.00,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
"GET","/movers.html",4,0,47,47,44,52,3745,0.02,0.00,48,48,52,52,52,52,52,52,52,52,52,52
"POST","/moversResult.html",4,0,14152,15119,14152,16186,16042,0.02,0.00,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
"GET","/prediction.html",1,0,12,12,12,12,40373,0.00,0.00,12,12,12,12,12,12,12,12,12,12,12,12
"POST","/predictionResult.html",1,0,16978,16978,16978,16978,316117,0.00,0.00,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
"None","Aggregated",22,0,52,4445,6,16978,1295302,0.11,0.00,190,230,13000,14000,16000,16000,17000,17000,17000,17000,17000,17000
