"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",4,0,4,6,3,14,3079,0.01,0.00,4,4,14,14,14,14,14,14,14,14,14,14
"POST","/",4,0,192,194,192,196,2524,0.01,0.00,200,200,200,200,200,200,200,200,200,200,200,200
"GET","/analysis.html",1,0,17,17,17,17,52059,0.00,0.00,17,17,17,17,17,17,17,17,17,17,17,17
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,14393,14393,14393,14393,658134,0.00,0.00,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
"GET","/compare.html",1,0,24,24,24,24,108023,0.00,0.00,24,24,24,24,24,24,24,24,24,24,24,24
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,0,20331,20331,20331,20331,13911284,0.00,0.00,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"GET","/measure.html",2,0,20,44,20,67,46273,0.00,0.00,67,67,67,67,67,67,67,67,67,67,67,67
"POST","/measureResults.html",2,0,2800,8061,2763,13358,133331,0.00,0.00,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
"GET","/prediction.html",1,0,8,8,8,8,40373,0.00,0.00,8,8,8,8,8,8,8,8,8,8,8,8
"POST","/predictionResult.html",1,0,24767,24767,24767,24767,361889,0.00,0.00,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
"None","Aggregated",18,0,67,4253,3,24767,861854,0.04,0.00,190,200,2800,13000,20000,25000,25000,25000,25000,25000,25000,25000
