"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",32,0,34,71,4,515,3079,0.06,0.00,40,75,94,95,120,320,520,520,520,520,520,520
"POST","/",32,0,410,491,193,1006,2524,0.06,0.00,440,670,750,780,860,910,1000,1000,1000,1000,1000,1000
"GET","/analysis.html",5,0,62,67,20,139,52059,0.01,0.00,62,65,65,140,140,140,140,140,140,140,140,140
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,4700,34090,4689,63491,6914762,0.00,0.00,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",2,0,153000,153584,152535,154632,3512018,0.00,0.00,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,93594,93594,93594,93594,658134,0.00,0.00,94000,94000,94000,94000,94000,94000,94000,94000,94000,94000,94000,94000
"GET","/compare.html",8,0,28,68,23,184,108023,0.01,0.00,39,91,130,130,180,180,180,180,180,180,180,180
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",6,0,160000,111101,7153,164869,13911284,0.01,0.00,161000,161000,164000,164000,165000,165000,165000,165000,165000,165000,165000,165000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",2,0,160181,163125,160181,166069,14042800,0.00,0.00,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000
"GET","/measure.html",12,0,50,124,23,568,46273,0.02,0.00,63,64,190,190,240,570,570,570,570,570,570,570
"POST","/measureResults.html",12,0,99000,97219,3876,155474,2322210,0.02,0.00,101000,150000,151000,151000,154000,155000,155000,155000,155000,155000,155000,155000
"GET","/movers.html",8,0,51,76,7,227,3745,0.01,0.00,59,63,100,100,230,230,230,230,230,230,230,230
"POST","/moversResult.html",8,0,133000,120328,26348,138360,16039,0.01,0.00,135000,136000,137000,137000,138000,138000,138000,138000,138000,138000,138000,138000
"GET","/prediction.html",7,0,61,179,13,482,40373,0.01,0.00,61,280,370,370,480,480,480,480,480,480,480,480
"POST","/predictionResult.html",7,0,191000,167584,25089,193492,318756,0.01,0.00,191000,191000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000
"None","Aggregated",144,0,230,33239,4,193492,1149046,0.26,0.00,240,740,7200,98000,154000,165000,191000,193000,193000,193000,193000,193000
