"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,4200,4120,3186,5076,3079,0.22,0.00,4200,4300,4400,4400,4600,4800,5000,5000,5100,5100,5100,5100
"POST","/",128,35,12000,11231,2903,15836,46355,0.22,0.06,12000,13000,14000,14000,15000,15000,16000,16000,16000,16000,16000,16000
"GET","/analysis.html",9,0,1800,1965,1104,3553,52059,0.02,0.00,1800,2200,2400,2500,3600,3600,3600,3600,3600,3600,3600,3600
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,170,1378,167,2589,53512,0.00,0.00,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,2925,2925,2925,2925,53512,0.00,0.00,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
"GET","/compare.html",30,0,2100,1936,682,3803,108023,0.05,0.00,2100,2500,2800,2800,2900,3000,3800,3800,3800,3800,3800,3800
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,1,646,646,646,646,121371,0.00,0.00,650,650,650,650,650,650,650,650,650,650,650,650
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,1,2941,2941,2941,2941,121125,0.00,0.00,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
"GET","/measure.html",46,0,2100,1880,288,4830,46273,0.08,0.00,2200,2500,2500,2700,3000,3100,4800,4800,4800,4800,4800,4800
"POST","/measureResults.html",9,5,4000,173167,2927,550449,125065,0.02,0.01,4000,225000,333000,433000,550000,550000,550000,550000,550000,550000,550000,550000
"GET","/movers.html",32,0,1600,2004,585,3837,3745,0.05,0.00,1700,2800,2900,3100,3200,3600,3800,3800,3800,3800,3800,3800
"POST","/moversResult.html",3,2,4000,193817,3040,574391,75636,0.01,0.00,4000,4000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000
"GET","/prediction.html",18,0,2100,2059,766,3856,40373,0.03,0.00,2100,2400,2700,2900,3600,3900,3900,3900,3900,3900,3900,3900
"POST","/predictionResult.html",1,1,3186,3186,3186,3186,117558,0.00,0.00,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
"None","Aggregated",409,45,4000,10711,167,574391,36393,0.69,0.08,4000,4600,9000,11000,14000,15000,16000,225000,574000,574000,574000,574000
