"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",1,0,15,15,15,15,3079,0.00,0.00,15,15,15,15,15,15,15,15,15,15,15,15
"POST","/",1,0,195,195,195,195,2524,0.00,0.00,200,200,200,200,200,200,200,200,200,200,200,200
"GET","/analysis.html",1,0,20,20,20,20,52059,0.00,0.00,20,20,20,20,20,20,20,20,20,20,20,20
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,3106,3106,3106,3106,6914762,0.00,0.00,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
"GET","/compare.html",1,0,29,29,29,29,108023,0.00,0.00,29,29,29,29,29,29,29,29,29,29,29,29
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,0,5861,5861,5861,5861,13911284,0.00,0.00,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900
"None","Aggregated",6,0,29,1538,15,5861,3498621,0.01,0.00,200,200,3100,3100,5900,5900,5900,5900,5900,5900,5900,5900
