"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,260,683,15,3196,3079,0.11,0.00,300,490,910,1200,2300,2800,2900,3200,3200,3200,3200,3200
"POST","/",64,0,1500,1907,197,6202,2524,0.11,0.00,1500,2100,2300,2500,4500,5200,5400,6200,6200,6200,6200,6200
"GET","/analysis.html",7,0,140,526,49,2376,52059,0.01,0.00,140,150,750,750,2400,2400,2400,2400,2400,2400,2400,2400
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",4,0,124000,211872,32630,359209,6914762,0.01,0.00,332000,332000,359000,359000,359000,359000,359000,359000,359000,359000,359000,359000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",2,0,36000,192583,35794,349372,3512018,0.00,0.00,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000,349000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,40667,40667,40667,40667,658134,0.00,0.00,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
"GET","/compare.html",18,0,400,771,70,2680,108023,0.03,0.00,490,610,1000,1500,2500,2700,2700,2700,2700,2700,2700,2700
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",9,0,402000,393241,358151,415323,13911284,0.02,0.00,402000,405000,407000,412000,415000,415000,415000,415000,415000,415000,415000,415000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",7,0,387000,298948,29732,422423,14042800,0.01,0.00,387000,392000,413000,413000,422000,422000,422000,422000,422000,422000,422000,422000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,271000,288432,270742,306122,2422313,0.00,0.00,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000,306000
"GET","/measure.html",19,0,310,348,18,1180,46273,0.03,0.00,310,390,530,590,920,1200,1200,1200,1200,1200,1200,1200
"POST","/measureResults.html",19,0,227000,222789,5005,374621,2381066,0.03,0.00,227000,348000,360000,363000,368000,375000,375000,375000,375000,375000,375000,375000
"GET","/movers.html",13,0,640,735,8,1788,3745,0.02,0.00,640,780,1300,1600,1700,1800,1800,1800,1800,1800,1800,1800
"POST","/moversResult.html",12,0,215000,193340,17592,291467,16036,0.02,0.00,235000,240000,250000,250000,267000,291000,291000,291000,291000,291000,291000,291000
"GET","/prediction.html",20,0,500,727,22,2442,40373,0.03,0.00,590,930,1300,1300,2100,2400,2400,2400,2400,2400,2400,2400
"POST","/predictionResult.html",20,0,498000,465097,123636,548375,337550,0.03,0.00,498000,507000,530000,540000,544000,548000,548000,548000,548000,548000,548000,548000
"None","Aggregated",281,0,1200,83811,8,548375,1139763,0.48,0.00,1200,2500,33000,182000,382000,474000,524000,540000,548000,548000,548000,548000
