"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1592030650",0,0,0.00,0.00,0,0,0,0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"None","Aggregated","1592030652",24,0,0.00,0.00,2100,2070,1268,2856.91,3079.00,2200,2300,2500,2500,2600,2700,2900,2900,2900,2900,2900,2900
"None","Aggregated","1592030654",75,0,4.67,0.00,2900,2921,1268,4539.65,3079.00,2900,3300,3500,3700,4000,4300,4500,4500,4500,4500,4500,4500
"None","Aggregated","1592030656",111,0,13.20,0.00,3500,3720,1268,6834.83,3074.00,3500,4300,4800,5300,5700,6000,6300,6800,6800,6800,6800,6800
"None","Aggregated","1592030658",135,0,15.00,0.00,3900,4094,1268,7629.80,3025.56,3900,4800,5500,5700,6300,6800,7200,7400,7600,7600,7600,7600
"None","Aggregated","1592030660",145,0,14.67,0.00,4000,4184,1268,10036.08,5097.12,4000,5000,5500,5700,6500,6900,8000,8100,10000,10000,10000,10000
"None","Aggregated","1592030662",156,0,14.20,0.00,4000,4305,1268,11530.11,6725.11,5000,5500,6000,6300,6900,8000,9600,10000,12000,12000,12000,12000
"None","Aggregated","1592030664",166,0,13.80,0.00,4100,4468,1268,13690.79,8244.83,5700,6200,6700,6900,8100,10000,12000,14000,14000,14000,14000,14000
"None","Aggregated","1592030666",176,1,9.80,0.00,4200,4715,722,14686.01,9757.50,5700,7200,8500,10000,12000,14000,14000,15000,15000,15000,15000,15000
"None","Aggregated","1592030668",183,5,6.70,0.00,4300,5038,722,15832.11,13547.75,7100,11000,12000,13000,14000,15000,16000,16000,16000,16000,16000,16000
"None","Aggregated","1592030670",195,17,4.90,0.50,4500,5700,722,18154.92,22712.77,12000,14000,15000,15000,16000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1592030672",201,22,4.60,0.60,4700,6063,722,19398.18,26064.64,14000,15000,16000,17000,18000,19000,19000,19000,19000,19000,19000,19000
"None","Aggregated","1592030674",212,31,4.90,2.20,5000,6638,722,21951.98,31846.76,15000,18000,18000,19000,19000,20000,22000,22000,22000,22000,22000,22000
"None","Aggregated","1592030676",240,51,4.70,3.00,5300,8087,722,24670.78,42458.70,19000,19000,20000,21000,22000,23000,24000,25000,25000,25000,25000,25000
"None","Aggregated","1592030678",288,82,5.90,4.50,6000,10067,722,25616.10,54337.28,20000,22000,22000,23000,24000,25000,25000,26000,26000,26000,26000,26000
"None","Aggregated","1592030680",305,82,10.20,7.30,6300,9960,722,25616.10,54297.33,20000,21000,22000,23000,24000,25000,25000,26000,26000,26000,26000,26000
"None","Aggregated","1592030682",324,82,10.80,6.80,6400,9860,722,25616.10,54212.14,19000,21000,22000,23000,24000,25000,25000,26000,26000,26000,26000,26000
