"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",16,0,3,5,2,17,3079,0.03,0.00,4,4,5,5,15,17,17,17,17,17,17,17
"POST","/",16,0,330,343,194,626,2524,0.03,0.00,340,350,410,410,480,630,630,630,630,630,630,630
"GET","/analysis.html",3,0,12,14,11,19,52059,0.01,0.00,12,12,19,19,19,19,19,19,19,19,19,19
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,96798,96751,96705,96798,6914762,0.00,0.00,97000,97000,97000,97000,97000,97000,97000,97000,97000,97000,97000,97000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,61527,61527,61527,61527,3512018,0.00,0.00,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
"GET","/compare.html",5,0,26,28,21,41,108023,0.01,0.00,26,30,30,41,41,41,41,41,41,41,41,41
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",4,0,5700,51972,5550,98624,14042800,0.01,0.00,98000,98000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,89374,89374,89374,89374,2422313,0.00,0.00,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000
"GET","/measure.html",10,0,20,28,13,63,46273,0.02,0.00,20,23,31,60,63,63,63,63,63,63,63,63
"POST","/measureResults.html",10,0,63000,55468,2569,97073,2761356,0.02,0.00,93000,96000,97000,97000,97000,97000,97000,97000,97000,97000,97000,97000
"GET","/movers.html",3,0,7,24,6,61,3745,0.01,0.00,7,7,61,61,61,61,61,61,61,61,61,61
"POST","/moversResult.html",3,0,21000,20841,15060,26119,16047,0.01,0.00,21000,21000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
"GET","/prediction.html",5,0,13,14,8,23,40373,0.01,0.00,13,18,18,23,23,23,23,23,23,23,23,23
"POST","/predictionResult.html",5,0,118000,96421,9435,119205,327147,0.01,0.00,118000,119000,119000,119000,119000,119000,119000,119000,119000,119000,119000,119000
"None","Aggregated",84,0,63,19735,2,119205,1270169,0.16,0.00,190,450,5700,26000,97000,99000,119000,119000,119000,119000,119000,119000
