"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,12,64,2,721,3079,0.11,0.00,13,28,58,90,210,340,410,720,720,720,720,720
"POST","/",64,0,280,501,190,1985,2524,0.11,0.00,290,400,540,740,1300,1500,2000,2000,2000,2000,2000,2000
"GET","/analysis.html",8,0,55,263,12,1003,52059,0.01,0.00,59,64,870,870,1000,1000,1000,1000,1000,1000,1000,1000
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",4,0,2900,154534,221,307663,5199449,0.01,0.00,307000,307000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",3,0,301000,202317,3226,302372,3512018,0.01,0.00,301000,301000,302000,302000,302000,302000,302000,302000,302000,302000,302000,302000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,3085,3085,3085,3085,658134,0.00,0.00,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
"GET","/compare.html",16,0,29,76,19,480,108023,0.03,0.00,34,38,66,66,290,480,480,480,480,480,480,480
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",8,0,316000,200829,5777,318943,13911284,0.01,0.00,316000,318000,318000,318000,319000,319000,319000,319000,319000,319000,319000,319000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",4,0,311000,240338,10329,320273,14042800,0.01,0.00,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",4,0,28000,134250,7249,256514,2422313,0.01,0.00,245000,245000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000
"GET","/measure.html",35,0,44,144,12,1041,46273,0.06,0.00,44,60,84,140,770,820,1000,1000,1000,1000,1000,1000
"POST","/measureResults.html",35,1,189000,171854,2480,306959,1634831,0.06,0.00,189000,279000,302000,302000,305000,306000,307000,307000,307000,307000,307000,307000
"GET","/movers.html",23,0,44,106,3,528,3745,0.04,0.00,44,52,71,110,360,510,530,530,530,530,530,530
"POST","/moversResult.html",22,0,287000,230541,20564,299848,16042,0.04,0.00,288000,290000,291000,294000,295000,298000,300000,300000,300000,300000,300000,300000
"GET","/prediction.html",9,0,160,491,10,1754,40373,0.02,0.00,160,720,800,880,1800,1800,1800,1800,1800,1800,1800,1800
"POST","/predictionResult.html",9,0,340000,283425,9610,355406,332112,0.02,0.00,340000,341000,343000,350000,355000,355000,355000,355000,355000,355000,355000,355000
"None","Aggregated",309,1,220,58324,2,355406,887625,0.52,0.00,220,810,5800,161000,300000,308000,320000,341000,355000,355000,355000,355000
