"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",4,0,13,12,5,17,3079,0.23,0.00,15,15,17,17,17,17,17,17,17,17,17,17
"POST","/",4,0,200,230,195,313,2524,0.23,0.00,220,220,310,310,310,310,310,310,310,310,310,310
"GET","/analysis.html",1,0,21,21,21,21,52059,0.06,0.00,21,21,21,21,21,21,21,21,21,21,21,21
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,9840,9840,9840,9840,3512018,0.06,0.00,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"GET","/measure.html",1,0,17,17,17,17,46273,0.06,0.00,17,17,17,17,17,17,17,17,17,17,17,17
"POST","/measureResults.html",1,0,8528,8528,8528,8528,131401,0.06,0.00,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
"GET","/movers.html",1,0,51,51,51,51,3745,0.06,0.00,51,51,51,51,51,51,51,51,51,51,51,51
"POST","/moversResult.html",1,0,13660,13660,13660,13660,16069,0.06,0.00,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
"GET","/prediction.html",1,0,10,10,10,10,40373,0.06,0.00,10,10,10,10,10,10,10,10,10,10,10,10
"POST","/predictionResult.html",1,0,16364,16364,16364,16364,361689,0.06,0.00,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
"None","Aggregated",16,0,51,3091,5,16364,261627,0.94,0.00,200,220,8500,8500,14000,16000,16000,16000,16000,16000,16000,16000
