"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,120,150,3,457,3079,0.11,0.00,120,150,200,250,390,450,460,460,460,460,460,460
"POST","/",64,0,3100,3065,230,6320,2524,0.11,0.00,3200,4100,4400,4700,5300,5800,6000,6300,6300,6300,6300,6300
"GET","/analysis.html",10,0,69,128,22,633,52059,0.02,0.00,84,94,96,140,630,630,630,630,630,630,630,630
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,20968,20968,20968,20968,6914762,0.00,0.00,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",7,0,149000,134139,251,358207,3017945,0.01,0.00,149000,193000,229000,229000,358000,358000,358000,358000,358000,358000,358000,358000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,35000,119789,34986,204592,658134,0.00,0.00,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000
"GET","/compare.html",22,0,210,207,29,401,108023,0.04,0.00,220,290,300,330,380,400,400,400,400,400,400,400
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",10,0,395000,395047,388101,405382,13911284,0.02,0.00,396000,396000,397000,398000,405000,405000,405000,405000,405000,405000,405000,405000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",9,0,400000,319485,5871,404531,14042800,0.02,0.00,400000,401000,401000,404000,405000,405000,405000,405000,405000,405000,405000,405000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,0,263000,277914,247239,323116,2422313,0.01,0.00,263000,263000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000
"GET","/measure.html",23,0,110,148,21,716,46273,0.04,0.00,110,130,200,240,280,400,720,720,720,720,720,720
"POST","/measureResults.html",23,0,203000,184963,2866,351761,1990372,0.04,0.00,203000,205000,344000,348000,350000,351000,352000,352000,352000,352000,352000,352000
"GET","/movers.html",20,0,67,115,3,444,3745,0.03,0.00,71,75,95,240,400,440,440,440,440,440,440,440
"POST","/moversResult.html",20,0,265000,197958,15383,300868,16028,0.03,0.00,265000,281000,284000,287000,296000,301000,301000,301000,301000,301000,301000,301000
"GET","/prediction.html",9,0,54,85,21,380,40373,0.02,0.00,54,54,65,80,380,380,380,380,380,380,380,380
"POST","/predictionResult.html",9,0,426000,382571,13212,441119,342236,0.02,0.00,426000,434000,438000,439000,441000,441000,441000,441000,441000,441000,441000,441000
"None","Aggregated",296,0,450,70046,3,441119,1202902,0.50,0.00,460,4100,16000,193000,348000,400000,424000,438000,441000,441000,441000,441000
