"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1592022051",6,0,0.00,0.00,16,73,4,196.80,17292.00,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1592022053",18,0,6.00,0.00,25,95,3,375.99,18681.33,52,61,230,230,240,380,380,380,380,380,380,380
"None","Aggregated","1592022055",28,0,5.50,0.00,61,120,3,432.11,16158.68,63,92,230,240,380,380,430,430,430,430,430,430
"None","Aggregated","1592022057",40,0,5.50,0.00,82,149,3,526.90,18522.97,85,130,240,380,430,460,530,530,530,530,530,530
"None","Aggregated","1592022059",52,0,5.71,0.00,92,183,3,729.04,15671.90,95,190,350,380,480,680,730,730,730,730,730,730
"None","Aggregated","1592022061",62,0,5.50,0.00,95,211,3,840.28,16014.00,110,240,420,440,680,740,770,840,840,840,840,840
"None","Aggregated","1592022063",75,0,5.60,0.00,130,241,3,840.28,18508.61,180,350,460,680,720,770,770,840,840,840,840,840
"None","Aggregated","1592022065",86,0,5.80,0.00,170,263,3,999.36,18815.51,200,440,680,710,770,860,960,1000,1000,1000,1000,1000
"None","Aggregated","1592022067",97,0,5.70,0.00,190,288,3,1168.11,17467.10,250,440,720,740,840,960,1000,1200,1200,1200,1200,1200
"None","Aggregated","1592022069",105,0,5.60,0.00,200,320,3,1168.11,18365.57,310,710,770,820,960,1000,1200,1200,1200,1200,1200,1200
"None","Aggregated","1592022071",112,0,5.40,0.00,200,382,3,2099.77,18332.29,660,810,940,950,1000,1700,2100,2100,2100,2100,2100,2100
"None","Aggregated","1592022073",121,0,5.10,0.00,240,612,3,20904.39,19335.97,820,950,1000,1200,1900,2100,21000,21000,21000,21000,21000,21000
"None","Aggregated","1592022075",130,0,4.90,0.00,280,702,3,20904.39,19010.06,1000,1400,1700,1900,2800,3000,21000,21000,21000,21000,21000,21000
"None","Aggregated","1592022077",140,0,4.50,0.00,340,780,3,20904.39,18927.09,1400,1700,1900,2100,3000,3600,21000,21000,21000,21000,21000,21000
"None","Aggregated","1592022079",148,0,4.10,0.00,380,880,3,20904.39,18390.88,1700,1900,2200,2800,3500,3600,21000,21000,21000,21000,21000,21000
"None","Aggregated","1592022081",154,0,4.10,0.00,440,953,3,20904.39,18109.48,1800,2200,2900,3200,3600,3700,4200,4200,4200,4200,4200,4200
"None","Aggregated","1592022083",164,0,4.30,0.00,610,1099,3,20904.39,17454.34,2300,3200,3400,3500,4200,4500,5000,5000,5000,5000,5000,5000
"None","Aggregated","1592022085",173,0,4.20,0.00,710,1211,3,20904.39,17380.89,2800,3400,3500,3600,4500,5000,5300,5300,5300,5300,5300,5300
"None","Aggregated","1592022087",179,0,4.30,0.00,720,1258,3,20904.39,17589.98,2800,3400,3500,4100,4800,5000,5300,5300,5300,5300,5300,5300
"None","Aggregated","1592022089",186,0,4.10,0.00,770,1382,3,20904.39,17590.18,3200,4400,4500,4800,5100,5800,6400,6400,6400,6400,6400,6400
"None","Aggregated","1592022091",192,0,3.90,0.00,780,1412,3,20904.39,17915.77,2800,4100,4600,4800,5300,6400,6400,6400,6400,6400,6400,6400
"None","Aggregated","1592022093",193,0,3.90,0.00,800,1417,3,20904.39,18062.70,2700,4100,4600,4800,5800,6400,6400,6400,6400,6400,6400,6400
"None","Aggregated","1592022095",193,0,3.90,0.00,800,1417,3,20904.39,18062.70,1800,4500,4600,5100,6400,6400,6400,6400,6400,6400,6400,6400
"None","Aggregated","1592022097",193,0,3.90,0.00,800,1417,3,20904.39,18062.70,2400,4500,4600,5100,6400,6400,6400,6400,6400,6400,6400,6400
"None","Aggregated","1592022099",194,0,2.00,0.00,800,1652,3,47018.31,18656.87,1800,2400,2400,47000,47000,47000,47000,47000,47000,47000,47000,47000
"None","Aggregated","1592022101",194,0,2.00,0.00,800,1652,3,47018.31,18656.87,2400,2400,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
