"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,240,936,3,3442,3079,0.11,0.00,290,1300,1700,1800,2800,3200,3400,3400,3400,3400,3400,3400
"POST","/",64,0,1000,2169,190,6383,2524,0.11,0.00,1000,3200,3700,4400,4800,5300,6400,6400,6400,6400,6400,6400
"GET","/analysis.html",7,0,87,621,49,2043,52059,0.01,0.00,87,270,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",3,0,73000,109934,3344,253901,6914762,0.00,0.00,73000,73000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",4,0,18000,107390,4010,256453,3512018,0.01,0.00,151000,151000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000
"GET","/compare.html",20,0,260,524,25,1826,108023,0.03,0.00,290,850,950,1100,1300,1800,1800,1800,1800,1800,1800,1800
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",6,0,33000,148702,6220,286639,13911284,0.01,0.00,278000,278000,279000,279000,287000,287000,287000,287000,287000,287000,287000,287000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",9,0,281000,224207,9700,293241,14042800,0.01,0.00,281000,287000,288000,289000,293000,293000,293000,293000,293000,293000,293000,293000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,0,216000,216172,199923,230760,2422313,0.01,0.00,216000,218000,218000,231000,231000,231000,231000,231000,231000,231000,231000,231000
"GET","/measure.html",30,0,120,642,16,2635,46273,0.05,0.00,190,770,1200,1400,2300,2400,2600,2600,2600,2600,2600,2600
"POST","/measureResults.html",30,0,104000,112685,2767,262480,2323456,0.05,0.00,115000,155000,165000,242000,250000,251000,262000,262000,262000,262000,262000,262000
"GET","/movers.html",22,0,280,767,13,2632,3745,0.04,0.00,340,1300,1500,1500,1700,2100,2600,2600,2600,2600,2600,2600
"POST","/moversResult.html",22,0,235000,222433,29914,252315,16045,0.04,0.00,236000,237000,238000,241000,243000,245000,252000,252000,252000,252000,252000,252000
"GET","/prediction.html",9,0,63,754,15,2745,40373,0.01,0.00,63,98,1400,2300,2700,2700,2700,2700,2700,2700,2700,2700
"POST","/predictionResult.html",9,0,29000,143910,9293,315439,333089,0.01,0.00,29000,294000,296000,297000,315000,315000,315000,315000,315000,315000,315000,315000
"None","Aggregated",304,0,1400,47947,3,315439,1100423,0.51,0.00,1500,3400,9700,88000,237000,256000,288000,294000,315000,315000,315000,315000
