"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",8,0,5,6,2,14,3079,0.02,0.00,5,5,14,14,14,14,14,14,14,14,14,14
"POST","/",8,0,200,213,192,248,2524,0.02,0.00,210,230,240,240,250,250,250,250,250,250,250,250
"GET","/analysis.html",1,0,18,18,18,18,52059,0.00,0.00,18,18,18,18,18,18,18,18,18,18,18,18
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,14768,14768,14768,14768,6914762,0.00,0.00,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
"GET","/compare.html",3,0,20,20,20,21,108023,0.01,0.00,20,20,21,21,21,21,21,21,21,21,21,21
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,0,20844,20844,20844,20844,13911284,0.00,0.00,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",2,0,5500,13813,5454,22171,14042800,0.01,0.00,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
"GET","/measure.html",3,0,22,30,14,53,46273,0.01,0.00,22,22,53,53,53,53,53,53,53,53,53,53
"POST","/measureResults.html",3,0,2800,6512,2749,13943,1227199,0.01,0.00,2800,2800,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
"GET","/movers.html",5,0,47,46,43,49,3745,0.01,0.00,47,48,48,49,49,49,49,49,49,49,49,49
"POST","/moversResult.html",5,0,19000,19780,18256,23591,16039,0.01,0.00,19000,19000,19000,24000,24000,24000,24000,24000,24000,24000,24000,24000
"None","Aggregated",40,0,53,4596,2,23591,1331298,0.11,0.00,190,240,5500,15000,19000,22000,24000,24000,24000,24000,24000,24000
