"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",32,0,9,13,2,50,3079,0.06,0.00,9,15,20,21,27,46,50,50,50,50,50,50
"POST","/",32,0,400,466,195,1335,2524,0.06,0.00,410,440,450,570,670,1200,1300,1300,1300,1300,1300,1300
"GET","/analysis.html",6,0,19,22,14,33,52059,0.01,0.00,20,20,31,31,33,33,33,33,33,33,33,33
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,6000,71363,5957,136769,6914762,0.00,0.00,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000,137000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",4,0,139000,139262,138538,139849,3512018,0.01,0.00,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000
"GET","/compare.html",8,0,27,53,19,206,108023,0.01,0.00,28,38,61,61,210,210,210,210,210,210,210,210
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",4,0,42000,82459,6193,141038,13911284,0.01,0.00,141000,141000,141000,141000,141000,141000,141000,141000,141000,141000,141000,141000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",4,0,6600,7277,5553,8900,14042800,0.01,0.00,8100,8100,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"GET","/measure.html",16,0,24,31,12,66,46273,0.03,0.00,25,28,58,58,64,66,66,66,66,66,66,66
"POST","/measureResults.html",16,0,96000,85750,2555,139027,1981687,0.03,0.00,96000,134000,138000,138000,139000,139000,139000,139000,139000,139000,139000,139000
"GET","/movers.html",8,0,48,51,43,69,3745,0.01,0.00,48,51,51,51,69,69,69,69,69,69,69,69
"POST","/moversResult.html",8,0,129000,129622,127602,131748,16044,0.01,0.00,130000,130000,131000,131000,132000,132000,132000,132000,132000,132000,132000,132000
"GET","/prediction.html",8,0,12,24,8,60,40373,0.01,0.00,14,24,56,56,60,60,60,60,60,60,60,60
"POST","/predictionResult.html",8,0,169000,110445,9208,171750,334078,0.01,0.00,170000,170000,171000,171000,172000,172000,172000,172000,172000,172000,172000,172000
"None","Aggregated",156,0,200,28002,2,171750,1132378,0.27,0.00,200,450,6600,71000,138000,140000,170000,171000,172000,172000,172000,172000
