"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",8,0,13,18,4,50,3079,0.01,0.00,15,17,29,29,50,50,50,50,50,50,50,50
"POST","/",8,0,290,276,193,359,2524,0.01,0.00,290,320,320,320,360,360,360,360,360,360,360,360
"GET","/analysis.html",1,0,24,24,24,24,52059,0.00,0.00,24,24,24,24,24,24,24,24,24,24,24,24
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,24929,24929,24929,24929,6914762,0.00,0.00,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
"GET","/compare.html",5,0,43,42,24,58,108023,0.01,0.00,43,46,46,58,58,58,58,58,58,58,58,58
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",4,0,39000,32258,6158,41894,14042800,0.01,0.00,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,40785,40785,40785,40785,2422313,0.00,0.00,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
"GET","/measure.html",2,0,17,28,17,39,46273,0.00,0.00,39,39,39,39,39,39,39,39,39,39,39,39
"POST","/measureResults.html",2,0,18000,21605,17541,25669,132397,0.00,0.00,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
"GET","/movers.html",4,0,48,48,45,51,3745,0.01,0.00,48,48,51,51,51,51,51,51,51,51,51,51
"POST","/moversResult.html",3,0,14260,14427,14260,14623,16040,0.01,0.00,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
"GET","/prediction.html",1,0,51,51,51,51,40373,0.00,0.00,51,51,51,51,51,51,51,51,51,51,51,51
"POST","/predictionResult.html",1,0,8681,8681,8681,8681,319203,0.00,0.00,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
"None","Aggregated",41,0,58,7141,4,41894,1632324,0.07,0.00,58,320,8700,14000,26000,41000,42000,42000,42000,42000,42000,42000
