"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,110,689,3,2896,3079,0.11,0.00,110,430,1700,2000,2200,2400,2700,2900,2900,2900,2900,2900
"POST","/",64,0,830,1660,190,6006,2524,0.11,0.00,860,1500,3600,3700,4200,4500,5400,6000,6000,6000,6000,6000
"GET","/analysis.html",9,0,75,339,16,1485,52059,0.02,0.00,75,190,370,860,1500,1500,1500,1500,1500,1500,1500,1500
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",5,0,4500,80253,2801,301805,6914762,0.01,0.00,4500,89000,89000,302000,302000,302000,302000,302000,302000,302000,302000,302000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",3,0,306000,208366,2914,316649,3512018,0.01,0.00,306000,306000,317000,317000,317000,317000,317000,317000,317000,317000,317000,317000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,142187,142187,142187,142187,658134,0.00,0.00,142000,142000,142000,142000,142000,142000,142000,142000,142000,142000,142000,142000
"GET","/compare.html",20,0,160,356,20,1647,108023,0.04,0.00,170,210,570,1000,1300,1600,1600,1600,1600,1600,1600,1600
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",11,0,336000,305822,5792,341911,13911284,0.02,0.00,336000,339000,339000,339000,340000,342000,342000,342000,342000,342000,342000,342000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",5,0,341000,246806,77089,346183,14042800,0.01,0.00,341000,343000,343000,346000,346000,346000,346000,346000,346000,346000,346000,346000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",4,0,27000,132488,8409,254077,2422313,0.01,0.00,241000,241000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000
"GET","/measure.html",27,0,110,441,15,1918,46273,0.05,0.00,110,580,670,910,1600,1600,1900,1900,1900,1900,1900,1900
"POST","/measureResults.html",27,0,181000,193384,2622,318203,1593068,0.05,0.00,181000,191000,308000,310000,317000,317000,318000,318000,318000,318000,318000,318000
"GET","/movers.html",21,0,130,356,6,1639,3745,0.04,0.00,130,410,550,610,860,980,1600,1600,1600,1600,1600,1600
"POST","/moversResult.html",21,0,274000,250915,19485,282991,16042,0.04,0.00,274000,277000,278000,278000,280000,282000,283000,283000,283000,283000,283000,283000
"GET","/prediction.html",6,0,50,672,17,1764,40373,0.01,0.00,910,910,1300,1300,1800,1800,1800,1800,1800,1800,1800,1800
"POST","/predictionResult.html",6,0,141000,195146,8946,345347,339912,0.01,0.00,333000,333000,334000,334000,345000,345000,345000,345000,345000,345000,345000,345000
"None","Aggregated",294,0,910,61707,3,346183,1117831,0.52,0.00,910,2900,8400,178000,282000,329000,340000,343000,346000,346000,346000,346000
