"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,2800,2722,5,7768,3079,0.21,0.00,2800,4200,4700,5000,5700,6400,6900,7000,7800,7800,7800,7800
"POST","/",128,0,5200,4803,190,11278,2524,0.21,0.00,5200,7000,7400,7800,9100,9500,10000,11000,11000,11000,11000,11000
"GET","/analysis.html",18,0,2900,2356,26,4704,52059,0.03,0.00,3200,3400,3900,4000,4600,4700,4700,4700,4700,4700,4700,4700
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,7257,7257,7257,7257,3512018,0.00,0.00,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300
"GET","/compare.html",32,0,2400,2553,24,5275,108023,0.05,0.00,2500,3200,3800,4400,4900,5200,5300,5300,5300,5300,5300,5300
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,0,28148,28148,28148,28148,14042800,0.00,0.00,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,284114,317178,284114,350241,2422313,0.00,0.00,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000
"GET","/measure.html",38,0,1300,1612,31,4983,46273,0.06,0.00,1400,2300,2500,2700,3300,4900,5000,5000,5000,5000,5000,5000
"POST","/measureResults.html",14,0,109000,179393,46430,431884,132930,0.02,0.00,110000,247000,278000,278000,348000,432000,432000,432000,432000,432000,432000,432000
"GET","/movers.html",27,0,2500,2113,44,4549,3745,0.05,0.00,2500,2900,3600,3700,3900,4200,4500,4500,4500,4500,4500,4500
"POST","/moversResult.html",12,0,499000,503881,449216,561475,16036,0.02,0.00,500000,517000,531000,531000,548000,561000,561000,561000,561000,561000,561000,561000
"GET","/prediction.html",21,0,1700,1854,22,3857,40373,0.04,0.00,1700,2800,2900,3100,3300,3800,3900,3900,3900,3900,3900,3900
"None","Aggregated",422,0,3100,24816,5,561475,76472,0.71,0.00,3100,4600,5600,6600,9100,109000,488000,517000,561000,561000,561000,561000
